State,Year,Count,Latitude,Longitude
Alabama,2014,2,32.31823,-86.902298
Alabama,2015,4,32.31823,-86.902298
Alabama,2016,15,32.31823,-86.902298
Alabama,2017,7,32.31823,-86.902298
Alabama,2018,14,32.31823,-86.902298
Alabama,2019,12,32.31823,-86.902298
Alabama,2020,11,32.31823,-86.902298
Alabama,2021,23,32.31823,-86.902298
Alabama,2022,16,32.31823,-86.902298
Alaska,2014,1,66.160507,-153.369141
Alaska,2015,0,66.160507,-153.369141
Alaska,2016,0,66.160507,-153.369141
Alaska,2017,0,66.160507,-153.369141
Alaska,2018,0,66.160507,-153.369141
Alaska,2019,0,66.160507,-153.369141
Alaska,2020,3,66.160507,-153.369141
Alaska,2021,1,66.160507,-153.369141
Alaska,2022,0,66.160507,-153.369141
Arizona,2014,1,34.048927,-111.093735
Arizona,2015,6,34.048927,-111.093735
Arizona,2016,4,34.048927,-111.093735
Arizona,2017,5,34.048927,-111.093735
Arizona,2018,2,34.048927,-111.093735
Arizona,2019,5,34.048927,-111.093735
Arizona,2020,4,34.048927,-111.093735
Arizona,2021,5,34.048927,-111.093735
Arizona,2022,13,34.048927,-111.093735
Arkansas,2014,2,34.799999,-92.199997
Arkansas,2015,2,34.799999,-92.199997
Arkansas,2016,3,34.799999,-92.199997
Arkansas,2017,3,34.799999,-92.199997
Arkansas,2018,6,34.799999,-92.199997
Arkansas,2019,5,34.799999,-92.199997
Arkansas,2020,14,34.799999,-92.199997
Arkansas,2021,5,34.799999,-92.199997
Arkansas,2022,5,34.799999,-92.199997
California,2014,41,36.778259,-119.417931
California,2015,27,36.778259,-119.417931
California,2016,46,36.778259,-119.417931
California,2017,38,36.778259,-119.417931
California,2018,35,36.778259,-119.417931
California,2019,49,36.778259,-119.417931
California,2020,39,36.778259,-119.417931
California,2021,45,36.778259,-119.417931
California,2022,49,36.778259,-119.417931
Colorado,2014,2,39.113014,-105.358887
Colorado,2015,3,39.113014,-105.358887
Colorado,2016,4,39.113014,-105.358887
Colorado,2017,2,39.113014,-105.358887
Colorado,2018,8,39.113014,-105.358887
Colorado,2019,5,39.113014,-105.358887
Colorado,2020,11,39.113014,-105.358887
Colorado,2021,13,39.113014,-105.358887
Colorado,2022,13,39.113014,-105.358887
Connecticut,2014,1,41.599998,-72.699997
Connecticut,2015,2,41.599998,-72.699997
Connecticut,2016,6,41.599998,-72.699997
Connecticut,2017,2,41.599998,-72.699997
Connecticut,2018,2,41.599998,-72.699997
Connecticut,2019,3,41.599998,-72.699997
Connecticut,2020,7,41.599998,-72.699997
Connecticut,2021,2,41.599998,-72.699997
Connecticut,2022,3,41.599998,-72.699997
Delaware,2014,0,39.0,-75.5
Delaware,2015,1,39.0,-75.5
Delaware,2016,2,39.0,-75.5
Delaware,2017,1,39.0,-75.5
Delaware,2018,1,39.0,-75.5
Delaware,2019,2,39.0,-75.5
Delaware,2020,3,39.0,-75.5
Delaware,2021,6,39.0,-75.5
Delaware,2022,1,39.0,-75.5
District of Columbia,2014,6,38.907192,-77.036871
District of Columbia,2015,3,38.907192,-77.036871
District of Columbia,2016,5,38.907192,-77.036871
District of Columbia,2017,5,38.907192,-77.036871
District of Columbia,2018,6,38.907192,-77.036871
District of Columbia,2019,7,38.907192,-77.036871
District of Columbia,2020,8,38.907192,-77.036871
District of Columbia,2021,16,38.907192,-77.036871
District of Columbia,2022,9,38.907192,-77.036871
Florida,2014,17,27.994402,-81.760254
Florida,2015,26,27.994402,-81.760254
Florida,2016,30,27.994402,-81.760254
Florida,2017,24,27.994402,-81.760254
Florida,2018,30,27.994402,-81.760254
Florida,2019,15,27.994402,-81.760254
Florida,2020,34,27.994402,-81.760254
Florida,2021,31,27.994402,-81.760254
Florida,2022,31,27.994402,-81.760254
Georgia,2014,17,33.247875,-83.441162
Georgia,2015,20,33.247875,-83.441162
Georgia,2016,17,33.247875,-83.441162
Georgia,2017,9,33.247875,-83.441162
Georgia,2018,8,33.247875,-83.441162
Georgia,2019,19,33.247875,-83.441162
Georgia,2020,17,33.247875,-83.441162
Georgia,2021,22,33.247875,-83.441162
Georgia,2022,29,33.247875,-83.441162
Idaho,2014,0,44.068203,-114.742043
Idaho,2015,0,44.068203,-114.742043
Idaho,2016,0,44.068203,-114.742043
Idaho,2017,0,44.068203,-114.742043
Idaho,2018,0,44.068203,-114.742043
Idaho,2019,0,44.068203,-114.742043
Idaho,2020,1,44.068203,-114.742043
Idaho,2021,1,44.068203,-114.742043
Idaho,2022,0,44.068203,-114.742043
Illinois,2014,26,40.0,-89.0
Illinois,2015,25,40.0,-89.0
Illinois,2016,42,40.0,-89.0
Illinois,2017,37,40.0,-89.0
Illinois,2018,35,40.0,-89.0
Illinois,2019,41,40.0,-89.0
Illinois,2020,68,40.0,-89.0
Illinois,2021,86,40.0,-89.0
Illinois,2022,57,40.0,-89.0
Indiana,2014,8,40.273502,-86.126976
Indiana,2015,9,40.273502,-86.126976
Indiana,2016,8,40.273502,-86.126976
Indiana,2017,7,40.273502,-86.126976
Indiana,2018,6,40.273502,-86.126976
Indiana,2019,10,40.273502,-86.126976
Indiana,2020,7,40.273502,-86.126976
Indiana,2021,14,40.273502,-86.126976
Indiana,2022,15,40.273502,-86.126976
Iowa,2014,0,42.032974,-93.581543
Iowa,2015,2,42.032974,-93.581543
Iowa,2016,0,42.032974,-93.581543
Iowa,2017,2,42.032974,-93.581543
Iowa,2018,0,42.032974,-93.581543
Iowa,2019,3,42.032974,-93.581543
Iowa,2020,4,42.032974,-93.581543
Iowa,2021,5,42.032974,-93.581543
Iowa,2022,2,42.032974,-93.581543
Kansas,2014,0,38.5,-98.0
Kansas,2015,1,38.5,-98.0
Kansas,2016,5,38.5,-98.0
Kansas,2017,4,38.5,-98.0
Kansas,2018,2,38.5,-98.0
Kansas,2019,4,38.5,-98.0
Kansas,2020,2,38.5,-98.0
Kansas,2021,2,38.5,-98.0
Kansas,2022,3,38.5,-98.0
Kentucky,2014,4,37.839333,-84.27002
Kentucky,2015,4,37.839333,-84.27002
Kentucky,2016,2,37.839333,-84.27002
Kentucky,2017,6,37.839333,-84.27002
Kentucky,2018,4,37.839333,-84.27002
Kentucky,2019,5,37.839333,-84.27002
Kentucky,2020,10,37.839333,-84.27002
Kentucky,2021,4,37.839333,-84.27002
Kentucky,2022,9,37.839333,-84.27002
Louisiana,2014,11,30.39183,-92.329102
Louisiana,2015,15,30.39183,-92.329102
Louisiana,2016,14,30.39183,-92.329102
Louisiana,2017,15,30.39183,-92.329102
Louisiana,2018,13,30.39183,-92.329102
Louisiana,2019,26,30.39183,-92.329102
Louisiana,2020,27,30.39183,-92.329102
Louisiana,2021,32,30.39183,-92.329102
Louisiana,2022,28,30.39183,-92.329102
Maine,2014,1,45.367584,-68.972168
Maine,2015,0,45.367584,-68.972168
Maine,2016,0,45.367584,-68.972168
Maine,2017,1,45.367584,-68.972168
Maine,2018,0,45.367584,-68.972168
Maine,2019,0,45.367584,-68.972168
Maine,2020,1,45.367584,-68.972168
Maine,2021,0,45.367584,-68.972168
Maine,2022,0,45.367584,-68.972168
Maryland,2014,1,39.045753,-76.641273
Maryland,2015,13,39.045753,-76.641273
Maryland,2016,11,39.045753,-76.641273
Maryland,2017,8,39.045753,-76.641273
Maryland,2018,9,39.045753,-76.641273
Maryland,2019,20,39.045753,-76.641273
Maryland,2020,18,39.045753,-76.641273
Maryland,2021,20,39.045753,-76.641273
Maryland,2022,19,39.045753,-76.641273
Massachusetts,2014,4,42.407211,-71.382439
Massachusetts,2015,5,42.407211,-71.382439
Massachusetts,2016,3,42.407211,-71.382439
Massachusetts,2017,1,42.407211,-71.382439
Massachusetts,2018,1,42.407211,-71.382439
Massachusetts,2019,5,42.407211,-71.382439
Massachusetts,2020,8,42.407211,-71.382439
Massachusetts,2021,4,42.407211,-71.382439
Massachusetts,2022,3,42.407211,-71.382439
Michigan,2014,10,44.182205,-84.506836
Michigan,2015,11,44.182205,-84.506836
Michigan,2016,11,44.182205,-84.506836
Michigan,2017,8,44.182205,-84.506836
Michigan,2018,8,44.182205,-84.506836
Michigan,2019,9,44.182205,-84.506836
Michigan,2020,21,44.182205,-84.506836
Michigan,2021,26,44.182205,-84.506836
Michigan,2022,25,44.182205,-84.506836
Minnesota,2014,1,46.39241,-94.63623
Minnesota,2015,5,46.39241,-94.63623
Minnesota,2016,5,46.39241,-94.63623
Minnesota,2017,4,46.39241,-94.63623
Minnesota,2018,3,46.39241,-94.63623
Minnesota,2019,2,46.39241,-94.63623
Minnesota,2020,6,46.39241,-94.63623
Minnesota,2021,11,46.39241,-94.63623
Minnesota,2022,12,46.39241,-94.63623
Mississippi,2014,5,33.0,-90.0
Mississippi,2015,2,33.0,-90.0
Mississippi,2016,6,33.0,-90.0
Mississippi,2017,12,33.0,-90.0
Mississippi,2018,3,33.0,-90.0
Mississippi,2019,6,33.0,-90.0
Mississippi,2020,17,33.0,-90.0
Mississippi,2021,13,33.0,-90.0
Mississippi,2022,14,33.0,-90.0
Missouri,2014,8,38.573936,-92.60376
Missouri,2015,13,38.573936,-92.60376
Missouri,2016,10,38.573936,-92.60376
Missouri,2017,10,38.573936,-92.60376
Missouri,2018,14,38.573936,-92.60376
Missouri,2019,18,38.573936,-92.60376
Missouri,2020,22,38.573936,-92.60376
Missouri,2021,16,38.573936,-92.60376
Missouri,2022,14,38.573936,-92.60376
Montana,2014,0,46.96526,-109.533691
Montana,2015,1,46.96526,-109.533691
Montana,2016,0,46.96526,-109.533691
Montana,2017,1,46.96526,-109.533691
Montana,2018,0,46.96526,-109.533691
Montana,2019,2,46.96526,-109.533691
Montana,2020,0,46.96526,-109.533691
Montana,2021,0,46.96526,-109.533691
Montana,2022,0,46.96526,-109.533691
Nebraska,2014,0,41.5,-100.0
Nebraska,2015,3,41.5,-100.0
Nebraska,2016,0,41.5,-100.0
Nebraska,2017,0,41.5,-100.0
Nebraska,2018,3,41.5,-100.0
Nebraska,2019,1,41.5,-100.0
Nebraska,2020,2,41.5,-100.0
Nebraska,2021,1,41.5,-100.0
Nebraska,2022,5,41.5,-100.0
Nevada,2014,4,39.876019,-117.224121
Nevada,2015,1,39.876019,-117.224121
Nevada,2016,3,39.876019,-117.224121
Nevada,2017,2,39.876019,-117.224121
Nevada,2018,4,39.876019,-117.224121
Nevada,2019,3,39.876019,-117.224121
Nevada,2020,4,39.876019,-117.224121
Nevada,2021,5,39.876019,-117.224121
Nevada,2022,5,39.876019,-117.224121
New Hampshire,2014,0,44.0,-71.5
New Hampshire,2015,0,44.0,-71.5
New Hampshire,2016,0,44.0,-71.5
New Hampshire,2017,0,44.0,-71.5
New Hampshire,2018,0,44.0,-71.5
New Hampshire,2019,0,44.0,-71.5
New Hampshire,2020,0,44.0,-71.5
New Hampshire,2021,1,44.0,-71.5
New Hampshire,2022,0,44.0,-71.5
New Jersey,2014,6,39.833851,-74.871826
New Jersey,2015,9,39.833851,-74.871826
New Jersey,2016,9,39.833851,-74.871826
New Jersey,2017,13,39.833851,-74.871826
New Jersey,2018,10,39.833851,-74.871826
New Jersey,2019,11,39.833851,-74.871826
New Jersey,2020,12,39.833851,-74.871826
New Jersey,2021,14,39.833851,-74.871826
New Jersey,2022,9,39.833851,-74.871826
New Mexico,2014,1,34.307144,-106.018066
New Mexico,2015,2,34.307144,-106.018066
New Mexico,2016,4,34.307144,-106.018066
New Mexico,2017,2,34.307144,-106.018066
New Mexico,2018,2,34.307144,-106.018066
New Mexico,2019,4,34.307144,-106.018066
New Mexico,2020,2,34.307144,-106.018066
New Mexico,2021,1,34.307144,-106.018066
New Mexico,2022,4,34.307144,-106.018066
New York,2014,14,43.0,-75.0
New York,2015,21,43.0,-75.0
New York,2016,15,43.0,-75.0
New York,2017,13,43.0,-75.0
New York,2018,13,43.0,-75.0
New York,2019,9,43.0,-75.0
New York,2020,38,43.0,-75.0
New York,2021,36,43.0,-75.0
New York,2022,31,43.0,-75.0
North Carolina,2014,3,35.782169,-80.793457
North Carolina,2015,12,35.782169,-80.793457
North Carolina,2016,9,35.782169,-80.793457
North Carolina,2017,7,35.782169,-80.793457
North Carolina,2018,10,35.782169,-80.793457
North Carolina,2019,11,35.782169,-80.793457
North Carolina,2020,20,35.782169,-80.793457
North Carolina,2021,22,35.782169,-80.793457
North Carolina,2022,21,35.782169,-80.793457
Ohio,2014,7,40.367474,-82.996216
Ohio,2015,13,40.367474,-82.996216
Ohio,2016,11,40.367474,-82.996216
Ohio,2017,21,40.367474,-82.996216
Ohio,2018,10,40.367474,-82.996216
Ohio,2019,14,40.367474,-82.996216
Ohio,2020,25,40.367474,-82.996216
Ohio,2021,32,40.367474,-82.996216
Ohio,2022,19,40.367474,-82.996216
Oklahoma,2014,2,36.084621,-96.921387
Oklahoma,2015,5,36.084621,-96.921387
Oklahoma,2016,1,36.084621,-96.921387
Oklahoma,2017,1,36.084621,-96.921387
Oklahoma,2018,5,36.084621,-96.921387
Oklahoma,2019,4,36.084621,-96.921387
Oklahoma,2020,2,36.084621,-96.921387
Oklahoma,2021,2,36.084621,-96.921387
Oklahoma,2022,8,36.084621,-96.921387
Oregon,2014,2,44.0,-120.5
Oregon,2015,2,44.0,-120.5
Oregon,2016,2,44.0,-120.5
Oregon,2017,0,44.0,-120.5
Oregon,2018,0,44.0,-120.5
Oregon,2019,1,44.0,-120.5
Oregon,2020,2,44.0,-120.5
Oregon,2021,7,44.0,-120.5
Oregon,2022,6,44.0,-120.5
Pennsylvania,2014,10,41.203323,-77.194527
Pennsylvania,2015,14,41.203323,-77.194527
Pennsylvania,2016,10,41.203323,-77.194527
Pennsylvania,2017,16,41.203323,-77.194527
Pennsylvania,2018,19,41.203323,-77.194527
Pennsylvania,2019,19,41.203323,-77.194527
Pennsylvania,2020,34,41.203323,-77.194527
Pennsylvania,2021,35,41.203323,-77.194527
Pennsylvania,2022,34,41.203323,-77.194527
Rhode Island,2014,1,41.742325,-71.742332
Rhode Island,2015,1,41.742325,-71.742332
Rhode Island,2016,0,41.742325,-71.742332
Rhode Island,2017,0,41.742325,-71.742332
Rhode Island,2018,0,41.742325,-71.742332
Rhode Island,2019,0,41.742325,-71.742332
Rhode Island,2020,0,41.742325,-71.742332
Rhode Island,2021,2,41.742325,-71.742332
Rhode Island,2022,0,41.742325,-71.742332
South Carolina,2014,7,33.836082,-81.163727
South Carolina,2015,11,33.836082,-81.163727
South Carolina,2016,5,33.836082,-81.163727
South Carolina,2017,7,33.836082,-81.163727
South Carolina,2018,4,33.836082,-81.163727
South Carolina,2019,10,33.836082,-81.163727
South Carolina,2020,22,33.836082,-81.163727
South Carolina,2021,17,33.836082,-81.163727
South Carolina,2022,20,33.836082,-81.163727
South Dakota,2014,1,44.5,-100.0
South Dakota,2015,1,44.5,-100.0
South Dakota,2016,0,44.5,-100.0
South Dakota,2017,0,44.5,-100.0
South Dakota,2018,0,44.5,-100.0
South Dakota,2019,0,44.5,-100.0
South Dakota,2020,1,44.5,-100.0
South Dakota,2021,1,44.5,-100.0
South Dakota,2022,0,44.5,-100.0
Tennessee,2014,13,35.860119,-86.660156
Tennessee,2015,11,35.860119,-86.660156
Tennessee,2016,12,35.860119,-86.660156
Tennessee,2017,14,35.860119,-86.660156
Tennessee,2018,18,35.860119,-86.660156
Tennessee,2019,7,35.860119,-86.660156
Tennessee,2020,19,35.860119,-86.660156
Tennessee,2021,15,35.860119,-86.660156
Tennessee,2022,16,35.860119,-86.660156
Texas,2014,17,31.0,-100.0
Texas,2015,17,31.0,-100.0
Texas,2016,31,31.0,-100.0
Texas,2017,21,31.0,-100.0
Texas,2018,15,31.0,-100.0
Texas,2019,29,31.0,-100.0
Texas,2020,34,31.0,-100.0
Texas,2021,57,31.0,-100.0
Texas,2022,50,31.0,-100.0
Utah,2014,2,39.41922,-111.950684
Utah,2015,0,39.41922,-111.950684
Utah,2016,0,39.41922,-111.950684
Utah,2017,1,39.41922,-111.950684
Utah,2018,1,39.41922,-111.950684
Utah,2019,0,39.41922,-111.950684
Utah,2020,1,39.41922,-111.950684
Utah,2021,1,39.41922,-111.950684
Utah,2022,0,39.41922,-111.950684
Vermont,2014,0,44.0,-72.699997
Vermont,2015,1,44.0,-72.699997
Vermont,2016,0,44.0,-72.699997
Vermont,2017,0,44.0,-72.699997
Vermont,2018,0,44.0,-72.699997
Vermont,2019,0,44.0,-72.699997
Vermont,2020,0,44.0,-72.699997
Vermont,2021,0,44.0,-72.699997
Vermont,2022,0,44.0,-72.699997
Virginia,2014,8,37.926868,-78.024902
Virginia,2015,5,37.926868,-78.024902
Virginia,2016,11,37.926868,-78.024902
Virginia,2017,12,37.926868,-78.024902
Virginia,2018,4,37.926868,-78.024902
Virginia,2019,10,37.926868,-78.024902
Virginia,2020,11,37.926868,-78.024902
Virginia,2021,16,37.926868,-78.024902
Virginia,2022,20,37.926868,-78.024902
Washington,2014,3,47.751076,-120.740135
Washington,2015,1,47.751076,-120.740135
Washington,2016,8,47.751076,-120.740135
Washington,2017,3,47.751076,-120.740135
Washington,2018,3,47.751076,-120.740135
Washington,2019,4,47.751076,-120.740135
Washington,2020,5,47.751076,-120.740135
Washington,2021,8,47.751076,-120.740135
Washington,2022,11,47.751076,-120.740135
West Virginia,2014,0,39.0,-80.5
West Virginia,2015,0,39.0,-80.5
West Virginia,2016,1,39.0,-80.5
West Virginia,2017,0,39.0,-80.5
West Virginia,2018,0,39.0,-80.5
West Virginia,2019,0,39.0,-80.5
West Virginia,2020,3,39.0,-80.5
West Virginia,2021,1,39.0,-80.5
West Virginia,2022,0,39.0,-80.5
Wisconsin,2014,2,44.5,-89.5
Wisconsin,2015,3,44.5,-89.5
Wisconsin,2016,2,44.5,-89.5
Wisconsin,2017,2,44.5,-89.5
Wisconsin,2018,4,44.5,-89.5
Wisconsin,2019,3,44.5,-89.5
Wisconsin,2020,10,44.5,-89.5
Wisconsin,2021,11,44.5,-89.5
Wisconsin,2022,16,44.5,-89.5
Wyoming,2014,0,43.07597,-107.290283
Wyoming,2015,0,43.07597,-107.290283
Wyoming,2016,0,43.07597,-107.290283
Wyoming,2017,0,43.07597,-107.290283
Wyoming,2018,0,43.07597,-107.290283
Wyoming,2019,1,43.07597,-107.290283
Wyoming,2020,0,43.07597,-107.290283
Wyoming,2021,0,43.07597,-107.290283
Wyoming,2022,0,43.07597,-107.290283
